Smiles,conductivity,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA7,SMR_VSA1,SMR_VSA10,SMR_VSA7,SlogP_VSA2,SlogP_VSA6,TPSA,EState_VSA10,EState_VSA2,EState_VSA3,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,HeavyAtomCount,NHOHCount,NOCount,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,RingCount,MolLogP,MolMR,fr_benzene,conductivity_class
C12C3=C(C4C(S3)=CC(O)=C(O)C=4)C3=C(C4C(S3)=CC(O)=C(O)C=4)C=1SC1C2=CC(=C(C=1)O)O,0.022,10.22487793,10.22487793,0.203266075,-0.21797188,0.126505433,492.555,480.459,491.9796011,162,0.1583585,-0.504244091,0.504244091,0.1583585,0.363636364,0.606060606,0.878787879,32.13598413,10.02625463,2.233805985,-2.020479067,2.549946231,-1.744721724,7.334867113,0.404759637,3.405077133,1.870533494,1733.955873,22.75626588,16.37212806,18.8216178,15.81257084,9.780487273,12.22997702,7.929804238,11.08640076,6.036722434,9.546872349,4.566673604,8.629211465,-3.66,62452526.5,18.86803664,6.015916261,2.305959348,195.2078826,30.63916437,18.19910121,30.63916437,94.52722242,36.39820241,30.63916437,36.39820241,121.38,30.63916437,34.497071,0,65.93812784,0,-1.263713864,9.255358718,33,6,6,4,7,9,6,9,7,7.0239,135.0978,4,Class_1
C12C3=C4C5C6C7C3C(C3=CC(=C(C(C13)C1C3C=2C2=C4C4C(C=C(C(=C4C5=CC(F)=C6)O)O)C4=CC(=C(C(C3=CC(F)=C1)C24)O)O)O)O)C=C(O)C=7O,0.106,16.04541969,16.04541969,0.288571462,-0.888247881,0.133608996,698.674,670.45,698.1752243,258,0.160815195,-0.508098404,0.508098404,0.160815195,0.442307692,1.019230769,1.788461538,19.14403869,9.39198097,2.667907311,-2.63218536,2.775305308,-2.526283328,5.812084424,0.174599411,3.102184315,1.29393132,2580.458449,35.2867634,26.88064309,26.88064309,24.97214201,17.74373956,17.74373956,16.35303192,16.35303192,14.75294182,14.75294182,13.52298341,13.52298341,-5.64,1.41905E+12,28.00650739,8.195736367,2.621652692,292.9090498,40.85221916,104.2812879,49.63304925,0,173.1545637,40.85221916,139.7738548,161.84,40.85221916,40.3141541,33.43862718,92.40711983,8.46089947,-12.11320373,0,52,8,8,1,1,8,8,10,13,8.6242,179.8424,1,Class_2
C12C3=C4C=C(O)C(O)=CC4=C4C1C1=C(C5C=C(O)C(O)=CC=54)C4C=C(O)C(O)=CC=4C4C1C1C(=C5C=C(O)C(O)=CC5=4)C4C=C(O)C(O)=CC=4C(=C21)C1C=C(O)C(O)=CC3=1,0.0331,11.19293572,11.19293572,0.427022827,-0.668424561,0.09907662,796.74,768.516,796.1580763,292,0.157557202,-0.504244889,0.504244889,0.157557202,0.216666667,0.383333333,0.583333333,16.32084319,9.437656073,2.599116431,-2.581346783,2.710513394,-2.546596479,6.108803965,0.394917607,3.198760715,1.385091184,3126.952301,41.26989107,30.60416745,30.60416745,28.7261622,19.08755255,19.08755255,16.5451051,16.5451051,13.91528828,13.91528828,11.91955025,11.91955025,-8.12,5.49342E+13,32.91276416,10.11335092,3.524681257,335.4485483,61.27832874,182.7634529,61.27832874,33.43862718,149.3248257,61.27832874,83.94261388,242.76,61.27832874,0,98.82083902,136.2101846,9.0086215,-7.807890916,17.2557515,60,12,12,6,6,12,12,12,13,3.4134,213.1736,6,Class_1
C12C3=C4C=C(O)C(O)=CC4=C4C1C1=C(C5C=CC=CC=54)C4C=C(O)C(O)=CC=4C4C1C1C(=C5C=CC=CC5=4)C4C=C(O)C(O)=CC=4C(=C21)C1C=CC=CC3=1,0.000195,11.1718764,11.1718764,0.179655907,-0.195537866,0.121665502,700.746,672.522,700.1885886,256,0.157557202,-0.504244889,0.504244889,0.157557202,0.277777778,0.574074074,0.962962963,16.31012975,9.438099594,2.594285609,-2.581405893,2.702881492,-2.546402726,6.103000786,0.398619014,3.178763904,1.373233382,3036.048404,36.04843014,28.3849875,28.3849875,26.31257084,18.26386095,18.26386095,15.52233777,15.52233777,13.35233711,13.35233711,11.70888405,11.70888405,-6.92,6.24873E+12,28.64048854,9.165366134,3.028032866,306.6831458,30.63916437,146.3652505,30.63916437,33.43862718,185.7230281,30.63916437,120.3408163,121.38,30.63916437,58.16869518,0,70.81592877,16.39101668,-1.865046282,35.3247675,54,6,6,6,6,6,6,6,13,5.1798,203.1848,6,Class_1
C12C3=C4C=C(O)C(O)=CC4=C4C1C1C(=C5C=C(O)C(O)=CC5=C5C1C1C(C6C=C(Cl)C(Cl)=CC=65)=C5C=C(O)C(O)=CC5=C(C21)C1C=C(Cl)C(Cl)=CC3=1)C1C=C(Cl)C(Cl)=CC=14,0.000426,11.30246886,11.30246886,0.291624696,-0.336140156,0.090412941,909.432,885.24,905.9704046,294,0.15754571,-0.50424489,0.50424489,0.15754571,0.233333333,0.366666667,0.5,35.50264213,9.395115079,2.636791975,-2.625850638,2.705974018,-2.625018082,6.432322113,0.146298445,3.198760715,1.390400153,3010.266868,41.26989107,30.34337326,34.87894693,28.7261622,19.13578824,21.40357508,16.73197202,19.17517278,14.32891282,16.49536302,12.56516973,13.54715023,-4.92,5.49342E+13,35.79984857,11.50532272,4.113562904,368.5027431,30.63916437,170.9276408,30.63916437,103.0442665,167.6248135,30.63916437,72.79640482,121.38,30.63916437,70.00450728,61.44769974,73.97686811,10.11815819,-3.766589109,20.79173841,60,6,6,6,6,6,6,12,13,7.1268,232.4508,6,Class_1
C12C3=C4C=C(O)C(O)=CC4=C4C1C1C(=C5C=C(O)C(O)=CC5=C5C1C1C(C6C=C(F)C(F)=CC=65)=C5C=C(O)C(O)=CC5=C(C21)C1C=C(F)C(F)=CC3=1)C1C=C(F)C(F)=CC=14,0.0182,15.73727434,15.73727434,0.223048804,-1.189324092,0.101949017,810.702,786.51,810.1477078,294,0.158975314,-0.50424489,0.50424489,0.158975314,0.233333333,0.366666667,0.5,19.16527684,9.394918213,2.637984606,-2.625062834,2.701587547,-2.625606091,6.011393472,0.145995409,3.198760715,1.390400153,3010.266868,41.26989107,30.34337326,30.34337326,28.7261622,19.13578824,19.13578824,16.73197202,16.73197202,14.32891282,14.32891282,12.56516973,12.56516973,-7.08,5.49342E+13,33.84793519,10.55771015,3.710819062,331.6763582,30.63916437,170.9276408,56.98165466,33.43862718,172.3923387,30.63916437,72.79640482,121.38,30.63916437,33.38070895,64.75052703,68.43594025,4.023391715,-14.99444772,14.11146969,60,6,6,6,6,6,6,12,13,4.041,202.1388,6,Class_1
C12C3=C4C=C(O)C(O)=CC4=C4C1C1C(=C5C=C(O)C(O)=CC5=C5C1C1C(C6C=CC=CC=65)=C5C=C(O)C(O)=CC5=C(C21)C1C=CC=CC3=1)C1C=CC=CC=14,5.2,11.18388745,11.18388745,0.075167496,-0.163593927,0.135469032,702.762,672.522,702.2042387,258,0.157545709,-0.50424489,0.50424489,0.157545709,0.240740741,0.388888889,0.537037037,16.31008959,9.395222102,2.632940627,-2.625297627,2.698296352,-2.624686461,6.009875787,0.146293625,3.178763904,1.379928439,2704.937467,36.04843014,28.53968803,28.53968803,26.31257084,18.51984402,18.51984402,15.93302137,15.93302137,13.92876179,13.92876179,12.44618794,12.44618794,-6.66,6.24873E+12,28.86989661,9.275925697,3.072130129,306.6831458,30.63916437,134.5294384,30.63916437,33.43862718,173.887216,30.63916437,109.1946072,121.38,30.63916437,70.00450728,0,72.54689319,13.16829164,-1.432568538,35.71738371,54,6,6,6,6,6,6,6,13,3.2064,202.3908,6,Class_2
C12C3=C4C=CC=CC4=C4C1C1=C(C5C=C(O)C(O)=CC=54)C4C=C(O)C(O)=CC=4C4C1C1C(=C5C=CC=CC5=4)C4C=C(O)C(O)=CC=4C(=C21)C1C=C(O)C(O)=CC3=1,0.00114,11.17932496,11.17932496,0.267163623,-0.347630648,0.105337514,732.744,704.52,732.1784179,268,0.157557202,-0.504244887,0.504244887,0.157557202,0.267857143,0.464285714,0.678571429,16.31374236,9.437849135,2.596723984,-2.581381584,2.708471027,-2.546324155,6.107102548,0.397742509,3.185434408,1.372494416,2924.802121,37.78891711,29.12471415,29.12471415,27.1171013,18.53842482,18.53842482,15.86326021,15.86326021,13.5399875,13.5399875,11.78025756,11.78025756,-7.32,1.28965E+13,30.05605099,9.481357311,3.192248351,316.2716133,40.85221916,158.4979846,40.85221916,33.43862718,173.590294,40.85221916,108.2080822,161.84,40.85221916,69.66771885,22.25380597,93.16590085,13.33590847,-3.587887833,29.08607851,56,8,8,6,6,8,8,8,13,4.591,206.5144,6,Class_1
C12C3C4=CC(O)=C(O)C3C3C=CC=C5C3C1=C1C3C(=CC(O)=C(O)C53)C3C=C(O)C(O)=C5C3C1=C1C3C5=CC=CC3C3=C(O)C(O)=CC4C3C1=2,0.0104,11.83036984,11.83036984,0.076970604,-0.579863107,0.138509186,662.694,632.454,662.1940679,246,0.16081346,-0.50809842,0.50809842,0.16081346,0.46,1.06,1.86,16.32321873,9.392431571,2.663313547,-2.632211818,2.772036361,-2.524756576,5.809882834,0.176532782,3.107218137,1.291563443,2465.52712,33.54627643,26.27941469,26.27941469,24.18444831,17.54440788,17.54440788,16.06438803,16.06438803,14.68078987,14.68078987,13.45088988,13.45088988,-5.5,7.27148E+11,26.37798575,7.77920101,2.403777473,284.577979,40.85221916,80.32200901,40.85221916,0,173.6528562,40.85221916,140.2721472,161.84,40.85221916,99.33447339,11.14620906,92.72845585,11.60398025,-5.843860934,0,50,8,8,1,1,8,8,8,13,8.0298,179.7404,1,Class_1
C12C3C=C(O)C(O)=CC=3C(=O)C=1C1C3C=C(O)C(O)=CC=3C(=O)C=1C1C3C=C(O)C(O)=CC=3C(=O)C2=1,0.00109,13.65998011,13.65998011,0.005324232,-0.613874664,0.178199306,480.384,468.288,480.048132,174,0.19459155,-0.504244737,0.504244737,0.19459155,0.305555556,0.5,0.722222222,16.31039531,9.989180374,2.282235542,-2.026616651,2.461910966,-1.993319641,6.425393069,0.40468149,3.369147275,1.996608099,2031.575323,25.36699634,17.87212806,17.87212806,17.09513191,10.66811484,10.66811484,8.896891113,8.896891113,7.067222552,7.067222552,5.557764128,5.557764128,-5.31,206401505.6,20.0965663,6.02460803,2.086028089,196.7398964,30.63916437,52.55687505,30.63916437,64.63469057,67.06818514,30.63916437,50.78181396,172.59,45.02277592,64.63469057,0,61.42304414,-1.841623992,-3.228782678,6.66742221,36,6,9,7,7,9,6,9,7,3.2334,133.8348,4,Class_1
C12C3C=C(O)C(O)=CC=3C3C=C(O)C(O)=CC=3C=1C=C1C3C=C(O)C(O)=CC=3C3C=C(O)C(O)=CC=3C1=C2,0.1,10.34569116,10.34569116,0.340202757,-0.348492396,0.067982413,506.466,488.322,506.1001675,186,0.157557626,-0.504244761,0.504244761,0.157557626,0.184210526,0.289473684,0.421052632,16.31357349,9.877190714,2.188862533,-2.165894471,2.47803632,-1.884418174,6.332386022,0.404288356,2.877795574,1.832979467,1904.629326,26.6180732,19.35121146,19.35121146,18.1171013,11.56235707,11.56235707,9.489400576,9.489400576,7.357580777,7.357580777,5.581006214,5.581006214,-5.5,463283546.5,21.75619835,7.043537047,2.735718519,211.8752603,40.85221916,125.2983613,40.85221916,64.63469057,60.66367068,40.85221916,60.66367068,161.84,40.85221916,45.99609467,64.63469057,89.22944437,0,-2.754780611,14.85866957,38,8,8,7,7,8,8,8,7,6.2506,144.7964,7,Class_2
C12C3C=C(O)C(O)=CC=3C3C=C(O)C(O)=CC=3C=1C=C1C3C=C(O)C(O)=CC=3C3C=C(O)C(O)=CC=3C1=N2,0.0081,10.325283,10.325283,0.367980535,-0.380202757,0.073287438,507.454,490.318,507.0954165,186,0.157615086,-0.504244761,0.504244761,0.157615086,0.263157895,0.447368421,0.710526316,16.31359124,9.917601419,2.197948075,-2.158122131,2.467533411,-1.914451391,6.310804844,0.404279639,2.877795574,1.832979467,1910.954595,26.6180732,19.22107478,19.22107478,18.1171013,11.4322204,11.4322204,9.326729734,9.326729734,7.152309659,7.152309659,5.370702043,5.370702043,-5.57,463283546.5,21.69176755,7.010871757,2.720367053,211.0949083,40.85221916,86.9146489,40.85221916,64.89564358,54.59730362,45.83619768,54.59730362,174.73,40.85221916,45.99609467,64.89564358,87.01507121,0.77149051,-2.986708048,12.62724289,38,8,9,6,7,9,8,9,7,5.6456,142.5914,6,Class_1
C12C3C=C(O)C(O)=CC=3C3C=C(O)C(O)=CC=3C=1N=C1C3C=C(O)C(O)=CC=3C3C=C(O)C(O)=CC=3C1=N2,0.002,10.29750522,10.29750522,0.274634144,-0.407980535,0.07828318,508.442,492.314,508.0906655,186,0.157616079,-0.50424475,0.50424475,0.157616079,0.263157895,0.421052632,0.605263158,16.31360961,9.956371044,2.207437184,-2.150609498,2.457409535,-1.943859852,6.289058176,0.404270519,2.877795574,1.832979467,1915.230106,26.6180732,19.09093811,19.09093811,18.1171013,11.30208373,11.30208373,9.164058892,9.164058892,6.955506319,6.955506319,5.16886565,5.16886565,-5.64,463283546.5,21.62735575,6.978265961,2.705059546,210.3145563,40.85221916,70.07583341,40.85221916,65.15659659,48.53093655,50.8201762,48.53093655,187.62,40.85221916,22.06680287,43.08979372,85.24514249,1.098536575,-3.218635486,10.52081621,38,8,10,6,7,10,8,10,7,5.0406,140.3864,6,Class_1
C12C3N=CC4C1=C1C(N=CC5C1=C1C(N=CC(C1=2)=C(O)C=3O)=C(O)C=5O)=C(O)C=4O,3.20E-07,10.60675333,10.60675333,0.084821901,-0.451065497,0.127629243,399.318,390.246,399.049135,144,0.184624013,-0.503735961,0.503735961,0.184624013,0.366666667,0.633333333,0.9,16.31169869,9.854520384,2.302164117,-2.21616115,2.56767344,-1.976033866,6.457092818,0.410002604,2.764339486,2.079919234,1483.337045,20.63494553,14.75697317,14.75697317,14.41359136,8.903083253,8.903083253,7.403083253,7.403083253,6.097849745,6.097849745,4.839419419,4.839419419,-4.53,13330311.21,15.39938574,4.380703067,1.327796146,163.8828114,30.63916437,0,30.63916437,65.02612008,18.59053071,45.59109993,18.59053071,160.05,30.63916437,32.7087748,32.31734529,66.85692208,0.254465703,-2.61371016,0,30,6,9,4,7,9,6,9,7,3.3378,108.4098,4,Class_0
C12C=C(C3=CC=C(C(O)=O)C=C3)C(C3=CC=C(C(O)=O)C=C3)=CC1=C1C=C(C3=CC=C(C(=O)O)C=C3)C(C3=CC=C(C(O)=O)C=C3)=CC1=C1C=C(C3=CC=C(C(O)=O)C=C3)C(C3=CC=C(C(=O)O)C=C3)=CC1=2,0.000398,12.02712612,12.02712612,0.07235226,-1.106544751,0.062937222,948.936,912.648,948.2206766,348,0.335178964,-0.477639247,0.477639247,0.335178964,0.194444444,0.305555556,0.402777778,16.3807872,9.820987378,2.221967322,-2.210062344,2.479661413,-1.979705879,6.290407128,0.068580436,3.396030728,1.392415156,3215.849157,50.53371151,37.45327939,37.45327939,34.62514169,22.2086905,22.2086905,17.12514402,17.12514402,13.00071884,13.00071884,9.323249221,9.323249221,-10.2,1.17E+16,45.57525615,18.0343821,8.303130015,407.7431498,30.63916437,208.2733704,59.40638747,68.13317701,215.371721,66.4549961,181.9910121,223.8,59.40638747,33.38070895,66.7614179,63.41692468,8.489283003,-6.639268508,50.57030412,72,6,12,10,10,6,6,12,10,13.3374,273.3318,10,Class_1
C12C=C(O)C(O)=C(N)C1=C1C=C(O)C(O)=C(N)C1=C1C=C(O)C(O)=C(N)C1=2,1.21,10.05830425,10.05830425,0.186657218,-0.587168577,0.126403532,369.333,354.213,369.0960852,138,0.181158335,-0.504189363,0.504189363,0.181158335,0.444444444,0.666666667,0.888888889,16.3112411,9.900594409,2.231717633,-2.180044366,2.52451815,-1.972015219,6.340502654,0.405773491,2.614213216,2.528924048,1125.190706,19.78157438,13.64738319,13.64738319,12.64564217,7.689716998,7.689716998,6.241605136,6.241605136,4.760427559,4.760427559,3.498150439,3.498150439,-4.14,1028308.611,16.33501359,4.944717801,1.872323703,150.2614713,47.8401668,34.35777385,30.63916437,49.37950411,18.19910121,30.63916437,18.19910121,199.44,30.63916437,49.37950411,0,61.45332278,17.31088908,-3.334875126,3.570663265,27,12,9,4,4,9,9,9,4,2.1264,102.186,4,Class_2
C12C=C3C4C=C(O)C(O)=CC=4C4C=C(O)C(O)=CC=4C3=CC=1C(=O)C1C=C3C4C=C(O)C(O)=CC=4C4C=C(O)C(O)=CC=4C3=CC=1C2=O,4.00E-05,14.30278512,14.30278512,0.072887252,-0.487961913,0.063221647,636.568,616.408,636.1056468,232,0.194058947,-0.504244761,0.504244761,0.194058947,0.229166667,0.354166667,0.5,16.31391906,9.791860533,2.321346995,-2.21613778,2.472050086,-2.206573629,6.357664371,0.097939784,3.058092116,1.401656848,2514.313381,33.49638837,24.32240858,24.32240858,22.904795,14.6253059,14.6253059,12.09102454,12.09102454,9.493774387,9.493774387,7.222295951,7.222295951,-6.94,80965303137,27.37699314,8.859140091,3.396929122,266.9794518,40.85221916,137.4310954,50.44129353,76.20118047,95.05021079,52.41870905,72.79640482,195.98,50.44129353,22.25380597,64.63469057,88.05785145,0.291549009,-4.312181389,16.69054403,48,8,10,8,8,10,8,10,9,7.026,178.1034,8,Class_1
C12N=C3C4C=C(O)C(O)=CC=4C4C=C(O)C(O)=CC=4C3=NC=1C=C1N=C3C4C=C(O)C(O)=CC=4C4C=C(O)C(O)=CC=4C3=NC1=C2,2.39E-06,10.36468915,10.36468915,0.357048515,-0.373477152,0.055245743,610.538,592.394,610.1124635,222,0.157616079,-0.50424475,0.50424475,0.157616079,0.239130435,0.413043478,0.608695652,16.31367907,9.974053885,2.199262307,-2.135347135,2.445068732,-1.950799699,6.263352886,0.40428955,3.021908824,1.445869294,2519.304615,31.7559014,23.14006584,23.14006584,22.04975429,13.85121146,13.85121146,11.21730247,11.21730247,8.509051587,8.509051587,6.340032796,6.340032796,-6.82,35076669488,25.65785856,8.418286463,3.314245034,254.1171813,40.85221916,82.20856754,40.85221916,87.22339946,60.66367068,60.78813324,60.66367068,213.4,40.85221916,45.99609467,87.22339946,86.20790675,3.087520846,-2.974475824,14.21001972,46,8,12,7,9,12,8,12,9,6.137,170.9884,7,Class_0
C1=C(C(=CC(=C1N)N)N)N,1.00E-09,5.428981481,5.428981481,0.464537037,0.464537037,0.379030761,138.174,128.094,138.0905463,54,0.056951688,-0.396998433,0.396998433,0.056951688,0.6,0.8,1,14.72740008,10.19826423,1.974709166,-2.030264265,2.234231495,-1.999123979,5.778288349,1.635717761,1.841127075,3.282462907,205.9198834,7.723614639,5.464101615,5.464101615,4.609060905,2.809401077,2.809401077,2.11004234,2.11004234,1.288675135,1.288675135,0.668393829,0.668393829,-1.58,156.4958014,6.538764846,1.982580224,0.906991215,58.79096591,22.93466991,12.13273414,0,22.7495451,12.13273414,0,12.13273414,104.08,0,0,22.7495451,0,23.57407407,0,3.092592593,10,8,4,1,1,4,4,4,1,0.0154,44.0916,1,Class_0
C1=C(C(=CC2=C3N=C(C21)N=C4C5=CC(=C(C=C5/C(=N/C6=C7C=C(C(=CC7=C(N6)N=C8C9=CC(=C(C=C9C(=N3)N8)O)O)O)O)/N4)O)O)O)O,9.40E-08,10.4084386,10.4084386,0.09507449,-0.770596948,0.109143605,644.56,624.4,644.1404096,236,0.160354746,-0.504455533,0.504455533,0.160354746,0.4375,0.854166667,1.333333333,16.31973512,9.934500468,2.321709682,-2.138084601,2.406392207,-2.181060304,6.016791056,0.320821216,3.736825786,1.480764566,2890.34667,33.17011496,24.00992916,24.00992916,23.01608078,14.26573298,14.26573298,11.3814799,11.3814799,8.447621172,8.447621172,6.107548389,6.107548389,-7.23,1.11601E+11,27.11105276,9.163197077,3.792028896,263.8817832,55.80415472,48.55024262,40.85221916,49.78869063,93.4134788,61.63977451,96.42467466,271.01,40.85221916,45.24314724,37.89044982,85.3023226,1.07518789,-3.505679958,7.800625432,48,11,16,3,6,13,11,16,9,2.6568,168.2035,3,Class_0
C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,1.00E-09,10.56470522,10.56470522,0.368240741,-1.374444444,0.679088944,210.141,204.093,210.0164379,78,0.33523137,-0.477638687,0.477638687,0.33523137,0.666666667,0.866666667,1,16.37305107,10.05915428,2.137637823,-2.003555392,2.105756469,-2.065257257,5.984066383,0.069553734,2.16326513,3.387380075,368.9086864,11.58542196,7.298436465,7.298436465,6.913591358,3.765243637,3.765243637,2.714495799,2.714495799,1.673864427,1.673864427,0.998016605,0.998016605,-2.37,1695.999862,10.70917656,3.78634806,2.305256473,83.39349702,15.31958218,18.19910121,29.70319374,17.90791586,34.88945568,33.22749805,18.19910121,111.9,14.38361155,16.69035448,0,25.83421769,-1.104722222,-4.123333333,2.699722222,15,3,6,1,1,3,3,6,1,0.7812,47.3199,1,Class_0
C1=C(C=NN1)C(=O)O,7.26E-09,10.00203704,10.00203704,0.185185185,-0.959490741,0.541350947,112.088,108.056,112.0272774,42,0.338387604,-0.47755733,0.47755733,0.338387604,1.875,2.625,2.875,16.36567821,10.37988684,1.991480839,-1.767532913,1.896737504,-1.909370959,5.861962613,0.069675377,2.115968032,2.928375237,179.9281971,5.983127663,3.95737602,3.95737602,3.804530453,2.025562034,2.025562034,1.292130268,1.292130268,0.745173058,0.745173058,0.367846192,0.367846192,-1.32,93.10259339,4.829700599,1.651203466,0.676380029,45.14936306,5.106527395,0,9.901064579,5.969305288,17.95713863,21.2731963,12.39368714,65.98,4.794537184,5.563451492,0,14.03152778,0.185185185,-0.959490741,0,8,2,4,0,1,2,2,4,1,0.1079,25.547,0,Class_0
C1=C2C(=CC(=C1N)N)C3=NC4=NC(=NC5=C6C=C(C(=CC6=C(N5)N=C7C8=CC(=C(C=C8C(=N7)N=C2N3)N)N)N)N)C9=CC(=C(C=C94)N)N,0.00273,6.256392387,6.256392387,0.332956007,0.332956007,0.106677355,634.672,608.464,634.2526348,234,0.164332247,-0.397042624,0.397042624,0.164332247,0.291666667,0.5,0.729166667,15.05908933,10.06150949,2.241956139,-2.039286665,2.409342461,-1.955248656,6.09629993,1.189929319,3.736825786,1.519105374,2408.497147,33.17011496,24.92088588,24.92088588,23.01608078,14.6114848,14.6114848,11.7165108,11.7165108,8.644860596,8.644860596,6.108756824,6.108756824,-7.36,1.11601E+11,26.99192499,9.101371528,3.761436116,268.7998221,55.83729686,48.53093655,0,89.63269594,48.53093655,39.87182817,48.53093655,317.08,0,0,135.1841199,2.61110587,57.1861238,1.331824029,13.79534229,48,18,16,4,7,14,10,16,9,3.5268,191.3526,4,Class_1
C1=C2C(=CC(=C1O)O)C3=NC4=NC(=NC5=C6C=C(C(=CC6=C(N5)N=C7C8=CC(=C(C=C8C(=N7)N=C2N3)O)O)O)O)C9=CC(=C(C=C94)O)O,0.0087,10.38750882,10.38750882,0.050224953,-0.440542075,0.101950347,642.544,624.4,642.1247595,234,0.164394956,-0.504243453,0.504243453,0.164394956,0.291666667,0.5,0.729166667,16.31373744,10.07545508,2.252641802,-2.019842346,2.438610419,-1.834029213,6.076050764,0.403967853,3.736825786,1.519105374,2424.497147,33.17011496,23.87979249,23.87979249,23.01608078,14.09093811,14.09093811,11.15569968,11.15569968,8.210989488,8.210989488,5.883353493,5.883353493,-7.36,1.11601E+11,26.99192499,9.101371528,3.761436116,264.4345666,50.8201762,48.53093655,40.85221916,44.13360574,48.53093655,80.72404733,48.53093655,270.76,40.85221916,45.88632688,43.79870282,84.37224962,1.725918403,-3.298974186,10.19149503,48,10,16,4,7,14,10,16,9,4.514,169.3718,4,Class_1
C1=C2C3=CC(=C(C=C3C4=CC(=C(C=C4C2=CC(=C1N)N)N)N)N)N,0.027,6.017343999,6.017343999,0.515706832,0.515706832,0.216027809,318.384,300.24,318.1592946,120,0.055396127,-0.397044198,0.397044198,0.055396127,0.291666667,0.416666667,0.541666667,14.68470146,9.919094053,2.132892952,-2.148824676,2.410685024,-1.987322642,6.278785035,1.698118477,2.530208529,2.397005548,896.141067,17.17084392,12.92820323,12.92820323,11.3630811,7.446152423,7.446152423,6.080127019,6.080127019,4.540063509,4.540063509,3.236538106,3.236538106,-3.54,295528.3562,14.07781604,4.483195416,1.765380917,137.5157409,34.40200486,68.7155477,0,66.44166293,36.39820241,0,36.39820241,156.12,0,0,34.12431765,5.667063492,39.19830499,0,11.13463152,24,12,6,4,4,6,6,6,4,2.6394,105.4344,4,Class_1
